state,category,characteristics,noconf
WA,Household income,"$200,000 and above",-
WA,Household income,Did not report,-
WV,Total,Total,"33,131"
WV,Age,18 - 24,"7,864"
WV,Age,25 - 39,"14,149"
WV,Age,40 - 54,"8,462"
WV,Age,55 - 64,"2,656"
WV,Age,65 and above,-
WV,Sex,Male,"11,791"
WV,Sex,Female,"21,340"
WV,Hispanic origin and Race,Hispanic or Latino (may be of any race),439
WV,Hispanic origin and Race,"White alone, not Hispanic","30,748"
WV,Hispanic origin and Race,"Black alone, not Hispanic","1,944"
WV,Hispanic origin and Race,"Asian alone, not Hispanic",-
WV,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",-
WV,Education,Less than high school,"2,887"
WV,Education,High school or GED,"19,386"
WV,Education,Some college/associateês degree,"10,276"
WV,Education,Bachelorês degree or higher,583
WV,Marital status,Married,"13,575"
WV,Marital status,Widowed,-
WV,Marital status,Divorced/separated,"4,378"
WV,Marital status,Never married,"15,178"
WV,Marital status,Did not report,-
WV,Presence of children under 18 years old,Children in household,"11,733"
WV,Presence of children under 18 years old,No children,"21,398"
WV,Respondent or household member experienced loss of employment income,Yes,"19,501"
WV,Respondent or household member experienced loss of employment income,No,"13,630"
WV,Respondent or household member experienced loss of employment income,Did not report,-
WV,Respondent currently employed,Yes,"11,036"
WV,Respondent currently employed,No,"22,095"
WV,Respondent currently employed,Did not report,-
WV,Household income,"Less than $25,000","11,003"
WV,Household income,"$25,000 - $34,999","14,449"
WV,Household income,"$35,000 - $49,999","4,334"
WV,Household income,"$50,000 - $74,999","3,345"
WV,Household income,"$75,000 - $99,999",-
WV,Household income,"$100,000 - $149,999",-
WV,Household income,"$150,000 - $199,999",-
WV,Household income,"$200,000 and above",-
WV,Household income,Did not report,-
WI,Total,Total,"85,293"
WI,Age,18 - 24,"16,881"
WI,Age,25 - 39,"33,630"
WI,Age,40 - 54,"31,501"
WI,Age,55 - 64,"3,281"
WI,Age,65 and above,-
WI,Sex,Male,"17,705"
WI,Sex,Female,"67,588"
WI,Hispanic origin and Race,Hispanic or Latino (may be of any race),"6,992"
WI,Hispanic origin and Race,"White alone, not Hispanic","44,204"
WI,Hispanic origin and Race,"Black alone, not Hispanic","24,343"
WI,Hispanic origin and Race,"Asian alone, not Hispanic",-
WI,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","9,754"
WI,Education,Less than high school,"31,594"
WI,Education,High school or GED,"15,665"
WI,Education,Some college/associateês degree,"30,746"
WI,Education,Bachelorês degree or higher,"7,287"
WI,Marital status,Married,"18,087"
WI,Marital status,Widowed,-
WI,Marital status,Divorced/separated,"8,755"
WI,Marital status,Never married,"58,451"
WI,Marital status,Did not report,-
WI,Presence of children under 18 years old,Children in household,"70,469"
WI,Presence of children under 18 years old,No children,"14,824"
WI,Respondent or household member experienced loss of employment income,Yes,"53,244"
WI,Respondent or household member experienced loss of employment income,No,"32,049"
WI,Respondent or household member experienced loss of employment income,Did not report,-
WI,Respondent currently employed,Yes,"16,940"
WI,Respondent currently employed,No,"68,353"
WI,Respondent currently employed,Did not report,-
WI,Household income,"Less than $25,000","61,878"
WI,Household income,"$25,000 - $34,999","13,279"
WI,Household income,"$35,000 - $49,999","5,240"
WI,Household income,"$50,000 - $74,999","2,341"
WI,Household income,"$75,000 - $99,999",-
WI,Household income,"$100,000 - $149,999",-
WI,Household income,"$150,000 - $199,999",-
WI,Household income,"$200,000 and above",-
WI,Household income,Did not report,"2,554"
WY,Total,Total,"6,774"
WY,Age,18 - 24,"1,006"
WY,Age,25 - 39,"3,610"
WY,Age,40 - 54,"1,017"
WY,Age,55 - 64,"1,141"
WY,Age,65 and above,-
WY,Sex,Male,"3,956"
WY,Sex,Female,"2,818"
WY,Hispanic origin and Race,Hispanic or Latino (may be of any race),"1,577"
WY,Hispanic origin and Race,"White alone, not Hispanic","4,727"
WY,Hispanic origin and Race,"Black alone, not Hispanic",-
WY,Hispanic origin and Race,"Asian alone, not Hispanic",-
WY,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",470
WY,Education,Less than high school,-
WY,Education,High school or GED,"5,764"
WY,Education,Some college/associateês degree,709
WY,Education,Bachelorês degree or higher,302
WY,Marital status,Married,"1,577"
WY,Marital status,Widowed,-
WY,Marital status,Divorced/separated,"1,408"
WY,Marital status,Never married,"3,789"
WY,Marital status,Did not report,-
WY,Presence of children under 18 years old,Children in household,"2,482"
WY,Presence of children under 18 years old,No children,"4,293"
WY,Respondent or household member experienced loss of employment income,Yes,"3,467"
WY,Respondent or household member experienced loss of employment income,No,"3,307"
WY,Respondent or household member experienced loss of employment income,Did not report,-
WY,Respondent currently employed,Yes,"4,171"
WY,Respondent currently employed,No,"2,603"
WY,Respondent currently employed,Did not report,-
WY,Household income,"Less than $25,000","2,421"
WY,Household income,"$25,000 - $34,999","2,515"
WY,Household income,"$35,000 - $49,999",72
WY,Household income,"$50,000 - $74,999",940
WY,Household income,"$75,000 - $99,999",826
WY,Household income,"$100,000 - $149,999",-
WY,Household income,"$150,000 - $199,999",-
WY,Household income,"$200,000 and above",-
WY,Household income,Did not report,-
